,num_layers_list,max_iters,num_samples_init,jump_iters,forward_kls,optimizer_methods,lrs,weight_decays,nfm_losses,price_estimates_NF_16,price_estimates_NF_32,price_estimates_NF_64,price_estimates_NF_128,price_estimates_NF_256,price_estimates_NF_512,price_estimates_NF_1024,price_estimates_NF_2048,price_estimates_NF_4096,price_estimates_NF_8192,price_estimates_NF_16384,error_estimates_NF_16,error_estimates_NF_32,error_estimates_NF_64,error_estimates_NF_128,error_estimates_NF_256,error_estimates_NF_512,error_estimates_NF_1024,error_estimates_NF_2048,error_estimates_NF_4096,error_estimates_NF_8192,error_estimates_NF_16384,price_estimates_QMC_16,price_estimates_QMC_32,price_estimates_QMC_64,price_estimates_QMC_128,price_estimates_QMC_256,price_estimates_QMC_512,price_estimates_QMC_1024,price_estimates_QMC_2048,price_estimates_QMC_4096,price_estimates_QMC_8192,price_estimates_QMC_16384,error_estimates_QMC_16,error_estimates_QMC_32,error_estimates_QMC_64,error_estimates_QMC_128,error_estimates_QMC_256,error_estimates_QMC_512,error_estimates_QMC_1024,error_estimates_QMC_2048,error_estimates_QMC_4096,error_estimates_QMC_8192,error_estimates_QMC_16384
0,16,1000,1024,100000,False,adam,0.001,1e-06,0.0005058856932231848,7.892436183824658,7.093483957671973,7.7845984105306,7.88942810015311,7.6314221404232345,7.616923825110632,7.6817086274562545,7.67969575424814,7.68222523975133,7.678635769135229,7.680794667381245,1.842435363025258,1.1902631224969078,0.6923608870350778,0.41463911990466024,0.14743926260169085,0.09797695682073083,0.022971900762547823,0.012582180489693598,0.003573614993037543,0.002106240682904195,0.0005774754162110449,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
1,16,1000,1024,100000,False,adam,0.01,1e-06,6.38422397889471e-05,7.698138647824383,7.489511503268893,7.738066391485765,7.6357070147818895,7.63286536007592,7.680804825389196,7.6798380097426096,7.673931694549503,7.679497942344175,7.680871272511833,7.680091166286841,1.8564724513571955,1.203586295507095,0.5200047924323319,0.3852293391410842,0.21821985856345913,0.06947137414291209,0.03865501446690587,0.01133171302884521,0.005501044208113976,0.001892269546961049,0.0006904312273146461,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
2,16,1000,1024,100000,False,sgd,0.001,1e-06,0.1366887946386992,7.3078778419682395,7.6440115257125445,7.828066343381349,7.584369078891814,7.673692525869985,7.598752220303905,7.678256078971533,7.674361017136268,7.679466989097921,7.679727524413712,7.680014895577983,1.5618426222325021,0.9818395957996726,0.544592340978183,0.4190921794328695,0.1796241526685882,0.07108037305335262,0.029149397390867696,0.009057716304667791,0.0043402610396251675,0.0018422088719672767,0.0009464459702628818,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
3,16,1000,1024,100000,False,sgd,0.01,1e-06,0.010063964597950559,8.619272171030577,6.443998992113799,7.629912681224412,7.697224580566976,7.631247022715111,7.6971552669851455,7.694485502762546,7.682041942787565,7.675597870324297,7.6793122361840895,7.680263488697007,1.4016562000674135,1.254590478598837,0.6138582233652049,0.3719075184731998,0.22764003325014695,0.11611969307145292,0.03368418312606198,0.012890468074847826,0.007590066488700153,0.0022845370389660306,0.0008322323308973527,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
4,16,1000,1024,100000,True,adam,0.001,1e-06,7.25027869718097,7.570368273731683,7.906793433787948,7.54304647150103,7.639320090626184,7.6326550239024336,7.648166105028586,7.671913861278095,7.677225143319309,7.683076644692944,7.679561504153126,7.6804407587920815,1.330989788975952,0.855786138050334,0.578672769717901,0.1943396181593112,0.1322567162105637,0.05572995190862068,0.025417807295956614,0.007824778776413127,0.004771042109811772,0.0017059159936092712,0.0007560292679040175,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
5,16,1000,1024,100000,True,adam,0.01,1e-06,7.285145927594428,7.5715509036750275,7.9663628416248065,7.974246698839353,7.635535813705315,7.615804654268675,7.707723870781438,7.662500091012505,7.690582894944639,7.677692016022726,7.68028143502201,7.680414194704534,1.6068470661606913,1.2753491514596704,0.5468842805635317,0.4256561585915094,0.1705774340556648,0.07203535743725774,0.02709807262608277,0.01321364387240775,0.006319946114881417,0.001383667010651413,0.0006980716120768876,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
6,16,1000,1024,100000,True,sgd,0.001,1e-06,7.313546212930577,7.133884891048277,8.482472636311984,7.659020606053087,7.393780294631627,7.69393454524907,7.6357338032720685,7.68963538092609,7.684757697884261,7.678057507178628,7.680807625394321,7.680154556200014,1.6865433564241628,1.0074453717302947,0.783792268834197,0.23809934916632788,0.12248526192505571,0.06721635494850624,0.029037642727951764,0.01339003954827356,0.0034414874579980852,0.002055993351755227,0.0006481189592746969,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
7,16,1000,1024,100000,True,sgd,0.01,1e-06,7.278819638297188,9.475157876486502,7.230751127744087,7.909925641501198,7.896813836678305,7.752203982967859,7.6996586678766645,7.685762441026855,7.675301048071242,7.679950554842307,7.6812470373905315,7.681080460946071,1.6861356813196762,1.497257766720477,0.5383266832960212,0.4987034711681216,0.17266428402583853,0.08330973563274927,0.042043887400460146,0.017134225764366018,0.005547394636951907,0.0018361417109275192,0.0011881118945337348,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
8,16,1000,2048,100000,False,adam,0.001,1e-06,0.00023946875142843993,8.843054308795326,8.64964571854814,7.772650935537525,7.760278304240233,7.659845239020895,7.675767979903895,7.650524867764502,7.686256894501407,7.676144779833499,7.680898507075066,7.680664494530686,1.683568918777108,1.3368280210532,0.5974663318558139,0.42195779604720685,0.16711027638959358,0.07167861229217701,0.03275358091721284,0.011725266165219397,0.004855977141801685,0.0021714315720843032,0.00046581527121346484,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
9,16,1000,2048,100000,False,adam,0.01,1e-06,0.00019441629900374124,7.445963704371735,6.873178500772718,7.238503388373496,8.154416203352858,7.652549161340308,7.710481433059872,7.675333976558904,7.6898783621152775,7.679104493994978,7.682637405407927,7.680648275657444,1.883578294279645,1.1190854655607427,0.6382274022147205,0.4390859767193244,0.15034323237957573,0.08879545401143472,0.027834007665865544,0.01293132578299414,0.00403574283491973,0.0019434273107320798,0.0004716325804974598,6.895226161532206,6.370823974735332,7.9269832161478275,7.920457282967176,7.982176680887856,8.00186599827995,7.995980373191701,7.9126735555494205,7.91006736292105,7.908073116708019,7.907347716824128,2.622044785398994,1.8553952000730929,0.5416319017012751,0.5587332337258405,0.35325221039318855,0.23310340849551303,0.10056665616571518,0.0142871360761836,0.00421611916794388,0.003480378234291502,0.0012434507051161702
