,num_layers_list,max_iters,num_samples_init,jump_iters,forward_kls,optimizer_methods,lrs,weight_decays,nfm_losses,price_estimates_NF,error_estimates_NF,price_estimates_classic,error_estimates_classic
0,8,1000,128,100000,False,adam,0.001,1e-06,"tensor(0.0082, grad_fn=<SubBackward0>)",6.942504632198842,0.5782436503669829,7.697739117028477,0.4834224683948266
1,8,1000,128,100000,False,adam,0.01,1e-06,"tensor(0.0070, grad_fn=<SubBackward0>)",7.553678783310115,0.4354931531420123,7.697739117028477,0.4834224683948266
2,8,1000,128,100000,False,sgd,0.001,1e-06,"tensor(1.0759, grad_fn=<SubBackward0>)",7.492800962833064,0.3741047424113534,7.697739117028477,0.4834224683948266
3,8,1000,128,100000,False,sgd,0.01,1e-06,"tensor(0.0531, grad_fn=<SubBackward0>)",7.135250798323743,0.3527694703534361,7.697739117028477,0.4834224683948266
4,8,1000,128,100000,True,adam,0.001,1e-06,"tensor(16.1878, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
5,8,1000,128,100000,True,adam,0.01,1e-06,"tensor(15.4653, grad_fn=<NegBackward0>)",7.538223023801389,0.4849929030869954,7.697739117028477,0.4834224683948266
6,8,1000,128,100000,True,sgd,0.001,1e-06,"tensor(16.0896, grad_fn=<NegBackward0>)",7.555212145665371,0.3495434147234716,7.697739117028477,0.4834224683948266
7,8,1000,128,100000,True,sgd,0.01,1e-06,"tensor(15.4499, grad_fn=<NegBackward0>)",7.216400494500999,0.496320601274452,7.697739117028477,0.4834224683948266
8,8,1000,256,100000,False,adam,0.001,1e-06,"tensor(0.0061, grad_fn=<SubBackward0>)",7.380023350516421,0.4430267394588897,7.697739117028477,0.4834224683948266
9,8,1000,256,100000,False,adam,0.01,1e-06,"tensor(0.0027, grad_fn=<SubBackward0>)",7.348735047924533,0.4368756605072206,7.697739117028477,0.4834224683948266
10,8,1000,256,100000,False,sgd,0.001,1e-06,"tensor(1.1217, grad_fn=<SubBackward0>)",7.332455023081303,0.3108618784553538,7.697739117028477,0.4834224683948266
11,8,1000,256,100000,False,sgd,0.01,1e-06,"tensor(0.0542, grad_fn=<SubBackward0>)",7.546821923787281,0.4329446727058328,7.697739117028477,0.4834224683948266
12,8,1000,256,100000,True,adam,0.001,1e-06,"tensor(16.1533, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
13,8,1000,256,100000,True,adam,0.01,1e-06,"tensor(15.5668, grad_fn=<NegBackward0>)",7.321950981489605,0.7360282239229503,7.697739117028477,0.4834224683948266
14,8,1000,256,100000,True,sgd,0.001,1e-06,"tensor(15.9492, grad_fn=<NegBackward0>)",7.583314773599189,0.3053431079646104,7.697739117028477,0.4834224683948266
15,8,1000,256,100000,True,sgd,0.01,1e-06,"tensor(15.5057, grad_fn=<NegBackward0>)",7.717859967183033,0.4243597312336739,7.697739117028477,0.4834224683948266
16,8,1000,512,100000,False,adam,0.001,1e-06,"tensor(0.0032, grad_fn=<SubBackward0>)",7.343422290354108,0.3480086601851991,7.697739117028477,0.4834224683948266
17,8,1000,512,100000,False,adam,0.01,1e-06,"tensor(0.0020, grad_fn=<SubBackward0>)",7.264361720806575,0.5167284641136235,7.697739117028477,0.4834224683948266
18,8,1000,512,100000,False,sgd,0.001,1e-06,"tensor(1.0817, grad_fn=<SubBackward0>)",7.674077892677514,0.2921032122331756,7.697739117028477,0.4834224683948266
19,8,1000,512,100000,False,sgd,0.01,1e-06,"tensor(0.0527, grad_fn=<SubBackward0>)",7.559730658736852,0.3543189283418098,7.697739117028477,0.4834224683948266
20,8,1000,512,100000,True,adam,0.001,1e-06,"tensor(15.4328, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
21,8,1000,512,100000,True,adam,0.01,1e-06,"tensor(15.4559, grad_fn=<NegBackward0>)",7.693616980250325,0.4626392833399906,7.697739117028477,0.4834224683948266
22,8,1000,512,100000,True,sgd,0.001,1e-06,"tensor(16.0519, grad_fn=<NegBackward0>)",7.472220408651109,0.4592257946416256,7.697739117028477,0.4834224683948266
23,8,1000,512,100000,True,sgd,0.01,1e-06,"tensor(15.4454, grad_fn=<NegBackward0>)",7.144885578107281,0.329102767731962,7.697739117028477,0.4834224683948266
24,8,1000,1024,100000,False,adam,0.001,1e-06,"tensor(0.0041, grad_fn=<SubBackward0>)",7.793574160788672,0.5314681835825699,7.697739117028477,0.4834224683948266
25,8,1000,1024,100000,False,adam,0.01,1e-06,"tensor(0.0011, grad_fn=<SubBackward0>)",7.354857461560408,0.4871237081564507,7.697739117028477,0.4834224683948266
26,8,1000,1024,100000,False,sgd,0.001,1e-06,"tensor(1.0816, grad_fn=<SubBackward0>)",7.170435049053236,0.304614137613626,7.697739117028477,0.4834224683948266
27,8,1000,1024,100000,False,sgd,0.01,1e-06,"tensor(0.0556, grad_fn=<SubBackward0>)",7.517699064450939,0.4124153391433918,7.697739117028477,0.4834224683948266
28,8,1000,1024,100000,True,adam,0.001,1e-06,"tensor(16.1326, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
29,8,1000,1024,100000,True,adam,0.01,1e-06,"tensor(15.4427, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
30,8,1000,1024,100000,True,sgd,0.001,1e-06,"tensor(15.9688, grad_fn=<NegBackward0>)",7.420115421260528,0.3627165796781538,7.697739117028477,0.4834224683948266
31,8,1000,1024,100000,True,sgd,0.01,1e-06,"tensor(15.4664, grad_fn=<NegBackward0>)",7.26718525430122,0.3851280637503351,7.697739117028477,0.4834224683948266
32,8,1000,2048,100000,False,adam,0.001,1e-06,"tensor(0.0022, grad_fn=<SubBackward0>)",7.528944517693519,0.4678573034933407,7.697739117028477,0.4834224683948266
33,8,1000,2048,100000,False,adam,0.01,1e-06,"tensor(0.0015, grad_fn=<SubBackward0>)",7.309959377637987,0.4205939077147624,7.697739117028477,0.4834224683948266
34,8,1000,2048,100000,False,sgd,0.001,1e-06,"tensor(1.0952, grad_fn=<SubBackward0>)",7.032283283535064,0.3096124788125456,7.697739117028477,0.4834224683948266
35,8,1000,2048,100000,False,sgd,0.01,1e-06,"tensor(0.0591, grad_fn=<SubBackward0>)",7.349170039889874,0.5198235205960946,7.697739117028477,0.4834224683948266
36,8,1000,2048,100000,True,adam,0.001,1e-06,"tensor(16.1331, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
37,8,1000,2048,100000,True,adam,0.01,1e-06,"tensor(15.4494, grad_fn=<NegBackward0>)",7.514926418443573,0.548245527355066,7.697739117028477,0.4834224683948266
38,8,1000,2048,100000,True,sgd,0.001,1e-06,"tensor(15.9722, grad_fn=<NegBackward0>)",7.789251098478565,0.3348238961101138,7.697739117028477,0.4834224683948266
39,8,1000,2048,100000,True,sgd,0.01,1e-06,"tensor(15.4419, grad_fn=<NegBackward0>)",7.823410732256061,0.3561927515858001,7.697739117028477,0.4834224683948266
40,8,1000,4096,100000,False,adam,0.001,1e-06,"tensor(0.0018, grad_fn=<SubBackward0>)",7.263662245277936,0.5171866094136222,7.697739117028477,0.4834224683948266
41,8,1000,4096,100000,False,adam,0.01,1e-06,"tensor(0.0014, grad_fn=<SubBackward0>)",7.492478063892542,0.4912215806076455,7.697739117028477,0.4834224683948266
42,8,1000,4096,100000,False,sgd,0.001,1e-06,"tensor(1.1129, grad_fn=<SubBackward0>)",7.484245169161824,0.3093238370713072,7.697739117028477,0.4834224683948266
43,8,1000,4096,100000,False,sgd,0.01,1e-06,"tensor(0.0586, grad_fn=<SubBackward0>)",7.408893915832249,0.4512422800911094,7.697739117028477,0.4834224683948266
44,8,1000,4096,100000,True,adam,0.001,1e-06,"tensor(16.1297, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
45,8,1000,4096,100000,True,adam,0.01,1e-06,"tensor(16.1209, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
46,8,1000,4096,100000,True,sgd,0.001,1e-06,"tensor(15.9740, grad_fn=<NegBackward0>)",7.73430535221751,0.3358802690463472,7.697739117028477,0.4834224683948266
47,8,1000,4096,100000,True,sgd,0.01,1e-06,"tensor(15.4545, grad_fn=<NegBackward0>)",7.361995994801735,0.3849926784662111,7.697739117028477,0.4834224683948266
48,16,1000,128,100000,False,adam,0.001,1e-06,"tensor(0.0063, grad_fn=<SubBackward0>)",7.12010160972961,0.4618366210849354,7.697739117028477,0.4834224683948266
49,16,1000,128,100000,False,adam,0.01,1e-06,"tensor(0.0118, grad_fn=<SubBackward0>)",7.73640811827791,0.5423583027087829,7.697739117028477,0.4834224683948266
50,16,1000,128,100000,False,sgd,0.001,1e-06,"tensor(0.6363, grad_fn=<SubBackward0>)",7.114792639263598,0.6158469193951083,7.697739117028477,0.4834224683948266
51,16,1000,128,100000,False,sgd,0.01,1e-06,"tensor(0.0275, grad_fn=<SubBackward0>)",7.794120421985951,0.5099547062382407,7.697739117028477,0.4834224683948266
52,16,1000,128,100000,True,adam,0.001,1e-06,"tensor(15.8668, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
53,16,1000,128,100000,True,adam,0.01,1e-06,"tensor(15.4247, grad_fn=<NegBackward0>)",7.677553043226306,0.4435643703014893,7.697739117028477,0.4834224683948266
54,16,1000,128,100000,True,sgd,0.001,1e-06,"tensor(15.7703, grad_fn=<NegBackward0>)",7.425588453786623,0.3202431896967346,7.697739117028477,0.4834224683948266
55,16,1000,128,100000,True,sgd,0.01,1e-06,"tensor(15.4371, grad_fn=<NegBackward0>)",7.982610979021051,0.4662188355033236,7.697739117028477,0.4834224683948266
56,16,1000,256,100000,False,adam,0.001,1e-06,"tensor(0.0038, grad_fn=<SubBackward0>)",7.483070330284395,0.5726677697272182,7.697739117028477,0.4834224683948266
57,16,1000,256,100000,False,adam,0.01,1e-06,"tensor(0.0068, grad_fn=<SubBackward0>)",7.330290477506372,0.3547951808703322,7.697739117028477,0.4834224683948266
58,16,1000,256,100000,False,sgd,0.001,1e-06,"tensor(0.6549, grad_fn=<SubBackward0>)",7.36750714928366,0.5042092045440207,7.697739117028477,0.4834224683948266
59,16,1000,256,100000,False,sgd,0.01,1e-06,"tensor(0.0264, grad_fn=<SubBackward0>)",8.082590010498935,0.5343585660134662,7.697739117028477,0.4834224683948266
60,16,1000,256,100000,True,adam,0.001,1e-06,"tensor(15.8289, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
61,16,1000,256,100000,True,adam,0.01,1e-06,"tensor(15.4429, grad_fn=<NegBackward0>)",7.750139356683644,0.5441809371705403,7.697739117028477,0.4834224683948266
62,16,1000,256,100000,True,sgd,0.001,1e-06,"tensor(15.7315, grad_fn=<NegBackward0>)",6.9518996339758266,0.4301083213444306,7.697739117028477,0.4834224683948266
63,16,1000,256,100000,True,sgd,0.01,1e-06,"tensor(15.4314, grad_fn=<NegBackward0>)",7.51420343502632,0.3830405405289925,7.697739117028477,0.4834224683948266
64,16,1000,512,100000,False,adam,0.001,1e-06,"tensor(0.0026, grad_fn=<SubBackward0>)",7.420913241987149,0.4642231294304521,7.697739117028477,0.4834224683948266
65,16,1000,512,100000,False,adam,0.01,1e-06,"tensor(0.0104, grad_fn=<SubBackward0>)",7.821963926389712,0.5179664727426045,7.697739117028477,0.4834224683948266
66,16,1000,512,100000,False,sgd,0.001,1e-06,"tensor(0.6141, grad_fn=<SubBackward0>)",7.038235011767859,0.4800792598231626,7.697739117028477,0.4834224683948266
67,16,1000,512,100000,False,sgd,0.01,1e-06,"tensor(0.0275, grad_fn=<SubBackward0>)",7.29881018159171,0.5624161454966613,7.697739117028477,0.4834224683948266
68,16,1000,512,100000,True,adam,0.001,1e-06,"tensor(15.4395, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
69,16,1000,512,100000,True,adam,0.01,1e-06,"tensor(15.4308, grad_fn=<NegBackward0>)",7.671364470155979,0.4803885731471,7.697739117028477,0.4834224683948266
70,16,1000,512,100000,True,sgd,0.001,1e-06,"tensor(15.7243, grad_fn=<NegBackward0>)",6.980749207734117,0.3552120409068108,7.697739117028477,0.4834224683948266
71,16,1000,512,100000,True,sgd,0.01,1e-06,"tensor(15.4364, grad_fn=<NegBackward0>)",7.555997228640105,0.4215578191613811,7.697739117028477,0.4834224683948266
72,16,1000,1024,100000,False,adam,0.001,1e-06,"tensor(0.0021, grad_fn=<SubBackward0>)",7.450113287194156,0.5319205184264063,7.697739117028477,0.4834224683948266
73,16,1000,1024,100000,False,adam,0.01,1e-06,"tensor(0.0028, grad_fn=<SubBackward0>)",7.507698663704619,0.4743030105617751,7.697739117028477,0.4834224683948266
74,16,1000,1024,100000,False,sgd,0.001,1e-06,"tensor(0.6232, grad_fn=<SubBackward0>)",7.402609069648211,0.4303689374379381,7.697739117028477,0.4834224683948266
75,16,1000,1024,100000,False,sgd,0.01,1e-06,"tensor(0.0285, grad_fn=<SubBackward0>)",7.450915700827709,0.56274350114703,7.697739117028477,0.4834224683948266
76,16,1000,1024,100000,True,adam,0.001,1e-06,"tensor(15.4455, grad_fn=<NegBackward0>)",,,7.697739117028477,0.4834224683948266
77,16,1000,1024,100000,True,adam,0.01,1e-06,"tensor(15.4192, grad_fn=<NegBackward0>)",8.098654319066299,0.5631301234579235,7.697739117028477,0.4834224683948266
